Size,ArrayType,Algorithm,TimeUs,Comparisons
2000,Reversed,LCP_MergeSort,1771.74,7671
2000,Reversed,MSD_Radix,945.3,4844
2000,Reversed,MSD_Hybrid,533.45,9408
2000,NearlySorted,Std_QuickSort,1409.14,30121
2000,NearlySorted,Std_MergeSort,2132.73,23903
2000,NearlySorted,Ternary_QS,643.8,18347
2000,NearlySorted,LCP_MergeSort,1850.98,8710
2000,NearlySorted,MSD_Radix,968.791,4842
2000,NearlySorted,MSD_Hybrid,495.5,9607
2000,Prefixed,Std_QuickSort,9302.17,698829
2000,Prefixed,Std_MergeSort,8522.71,550592
2000,Prefixed,Ternary_QS,1363.12,75369
2000,Prefixed,LCP_MergeSort,3052.29,71578
2000,Prefixed,MSD_Radix,1027.03,14000
2000,Prefixed,MSD_Hybrid,1059.63,14000
2100,Random,Std_QuickSort,1762.79,34526
2100,Random,Std_MergeSort,2572.05,28862
2100,Random,Ternary_QS,867.433,22570
2100,Random,LCP_MergeSort,2616.07,18502
2100,Random,MSD_Radix,902.075,4867
2100,Random,MSD_Hybrid,594.358,10767
2100,Reversed,Std_QuickSort,1385.72,29527
2100,Reversed,Std_MergeSort,1868.08,17938
2100,Reversed,Ternary_QS,677.6,19006
2100,Reversed,LCP_MergeSort,1853.73,7888
2100,Reversed,MSD_Radix,1006.39,5088
2100,Reversed,MSD_Hybrid,562.134,9890
2100,NearlySorted,Std_QuickSort,1500.72,32043
2100,NearlySorted,Std_MergeSort,2195.62,25370
2100,NearlySorted,Ternary_QS,664.083,19112
2100,NearlySorted,LCP_MergeSort,1928.08,9181
2100,NearlySorted,MSD_Radix,993.5,5088
2100,NearlySorted,MSD_Hybrid,552.683,10103
2100,Prefixed,Std_QuickSort,11336.6,838579
2100,Prefixed,Std_MergeSort,9107.61,582191
2100,Prefixed,Ternary_QS,1393.58,78644
2100,Prefixed,LCP_MergeSort,3200.68,75261
2100,Prefixed,MSD_Radix,1129.41,14700
2100,Prefixed,MSD_Hybrid,1135.25,14700
2200,Random,Std_QuickSort,1919.68,37608
2200,Random,Std_MergeSort,2691.8,30614
2200,Random,Ternary_QS,951.4,25211
2200,Random,LCP_MergeSort,2721.78,19607
2200,Random,MSD_Radix,945.1,5120
2200,Random,MSD_Hybrid,631.967,11365
2200,Reversed,Std_QuickSort,1415.62,30945
2200,Reversed,Std_MergeSort,1948.03,18666
2200,Reversed,Ternary_QS,705.317,20141
2200,Reversed,LCP_MergeSort,1950.55,8218
2200,Reversed,MSD_Radix,1034.48,5328
2200,Reversed,MSD_Hybrid,578.625,10379
2200,NearlySorted,Std_QuickSort,1536.7,34062
2200,NearlySorted,Std_MergeSort,2339.43,27058
2200,NearlySorted,Ternary_QS,713.492,21428
2200,NearlySorted,LCP_MergeSort,2066.7,9816
2200,NearlySorted,MSD_Radix,1061.17,5328
2200,NearlySorted,MSD_Hybrid,586.683,10595
2200,Prefixed,Std_QuickSort,10149.9,744435
2200,Prefixed,Std_MergeSort,9663.46,614989
2200,Prefixed,Ternary_QS,1627.88,84392
2200,Prefixed,LCP_MergeSort,3460.94,78991
2200,Prefixed,MSD_Radix,1185.05,15400
2200,Prefixed,MSD_Hybrid,1183.73,15400
2300,Random,Std_QuickSort,1809.01,37540
2300,Random,Std_MergeSort,2813.38,32312
2300,Random,Ternary_QS,978.959,25648
2300,Random,LCP_MergeSort,2945.05,20604
2300,Random,MSD_Radix,1022.17,5374
2300,Random,MSD_Hybrid,669.167,12243
2300,Reversed,Std_QuickSort,1529.93,32791
2300,Reversed,Std_MergeSort,2129.24,19437
2300,Reversed,Ternary_QS,781.158,21403
2300,Reversed,LCP_MergeSort,2081.84,8523
2300,Reversed,MSD_Radix,1103.71,5564
2300,Reversed,MSD_Hybrid,618.267,10846
2300,NearlySorted,Std_QuickSort,1635.93,35768
2300,NearlySorted,Std_MergeSort,2492.95,28706
2300,NearlySorted,Ternary_QS,757.85,21277
2300,NearlySorted,LCP_MergeSort,2179.51,10289
2300,NearlySorted,MSD_Radix,1079.72,5577
2300,NearlySorted,MSD_Hybrid,609.725,11098
2300,Prefixed,Std_QuickSort,11862.9,875932
2300,Prefixed,Std_MergeSort,10127,647045
2300,Prefixed,Ternary_QS,1668.71,86972
2300,Prefixed,LCP_MergeSort,3591.03,82766
2300,Prefixed,MSD_Radix,1262.98,16100
2300,Prefixed,MSD_Hybrid,1261.86,16100
2400,Random,Std_QuickSort,2120.07,40759
2400,Random,Std_MergeSort,2958.88,34041
2400,Random,Ternary_QS,970.742,25650
2400,Random,LCP_MergeSort,3005.46,21686
2400,Random,MSD_Radix,1050.47,5624
2400,Random,MSD_Hybrid,700.958,12934
2400,Reversed,Std_QuickSort,1606.98,34086
2400,Reversed,Std_MergeSort,2209.32,20238
2400,Reversed,Ternary_QS,783.575,22315
2400,Reversed,LCP_MergeSort,2184.4,8884
2400,Reversed,MSD_Radix,1134.26,5800
2400,Reversed,MSD_Hybrid,634.975,11284
2400,NearlySorted,Std_QuickSort,1776.13,38139
2400,NearlySorted,Std_MergeSort,2609.14,29960
2400,NearlySorted,Ternary_QS,784.925,22366
2400,NearlySorted,LCP_MergeSort,2307.34,10975
2400,NearlySorted,MSD_Radix,1151.31,5832
2400,NearlySorted,MSD_Hybrid,639.575,11594
2400,Prefixed,Std_QuickSort,12253.2,911706
2400,Prefixed,Std_MergeSort,10548.4,680702
